Name,Release Date,Price
莊園領主 Manor Lords,2024 年 4 月 26 日,NT$ 749.00
Counter-Strike 2,2012 年 8 月 21 日,免費
HELLDIVERS™ 2,2024 年 2 月 8 日,"NT$ 1,190.00"
《Apex 英雄》,2020 年 11 月 4 日,免費
Street Fighter 6,2023 年 6 月 1 日,"NT$ 1,109.00"
NARAKA: BLADEPOINT,2021 年 8 月 11 日,免費
MONSTER HUNTER RISE,2022 年 1 月 12 日,NT$ 280.00
Monster Hunter: World,2018 年 8 月 9 日,NT$ 303.00
雀魂麻將(MahjongSoul),2020 年 7 月 14 日,免費
PUBG: BATTLEGROUNDS,2017 年 12 月 21 日,免費
女神異聞錄5皇家版,2022 年 10 月 20 日,NT$ 716.00
Monster Hunter World: Iceborne,2020 年 1 月 9 日,NT$ 455.00
英勇之地,2023 年 5 月 17 日,免費
火炬之光：無限,2023 年 5 月 9 日,免費
歧路旅人 II,2023 年 2 月 24 日,"NT$ 1,074.00"
流亡黯道,2024 年 2 月 29 日,免費
Conqueror's Blade,2020 年 4 月 5 日,免費
Dead Island 2,2024 年 4 月 22 日,NT$ 877.00
女神異聞錄３ Reload,2024 年 2 月 1 日,"NT$ 1,323.00"
艾爾登法環,2022 年 2 月 24 日,"NT$ 1,790.00"
7 Days to Die,2013 年 12 月 13 日,NT$ 136.00
Forza Horizon 5,2021 年 11 月 8 日,NT$ 844.00
Granblue Fantasy: Relink,2024 年 1 月 31 日,"NT$ 1,180.00"
Age of Empires II: Definitive Edition,2019 年 11 月 14 日,NT$ 339.00
人中之龍８,2024 年 1 月 25 日,"NT$ 1,323.00"
Sekiro™: Shadows Die Twice - GOTY Edition,2019 年 3 月 21 日,NT$ 795.00
Rusty's Retirement,2024 年 4 月 26 日,NT$ 124.00
Age of Empires IV: Anniversary Edition,2021 年 10 月 28 日,NT$ 728.00
《永無寧日》,2024 年 4 月 18 日,NT$ 585.00
Warframe,2013 年 3 月 25 日,免費
World War Z,2021 年 9 月 21 日,NT$ 395.00
Dead by Daylight,2016 年 6 月 14 日,NT$ 151.00
FINAL FANTASY VII REMAKE INTERGRADE,2022 年 6 月 17 日,NT$ 995.00
Grand Theft Auto V,2015 年 4 月 13 日,NT$ 662.00
靈視異聞 FILE23 本所七大不可思議,2023 年 3 月 8 日,NT$ 354.00
Palworld / 幻獸帕魯,2024 年 1 月 18 日,NT$ 488.00
Sid Meier’s Civilization® VI,2016 年 10 月 20 日,NT$ 179.00
Sky 光·遇,2024 年 4 月 10 日,免費
War Thunder,2013 年 8 月 15 日,免費
星之後裔 : Knights of Veda,2024 年 4 月 1 日,免費
Anno 1800,2019 年 4 月,NT$ 424.00
《暗黑破壞神® IV》,2023 年 10 月 17 日,"NT$ 1,109.00"
鐵拳8,2024 年 1 月 25 日,"NT$ 1,393.00"
塵白禁域,2023 年 12 月 24 日,免費
《百英雄傳》Eiyuden Chronicle: Hundred Heroes,2024 年 4 月 23 日,NT$ 746.00
百萬噸級武藏W：WIRED,2024 年 4 月 24 日,"NT$ 1,490.00"
Nordic Ashes: Survivors of Ragnarok,2024 年 4 月 26 日,NT$ 127.00
Call of Duty®: Modern Warfare® III,2023 年 11 月 10 日,"NT$ 1,442.00"
SAND LAND,2024 年 4 月 25 日,"NT$ 1,790.00"
Baldur's Gate 3,2023 年 8 月 3 日,"NT$ 1,599.00"
