Name,ImageURL
莊園領主 Manor Lords,https://cdn.akamai.steamstatic.com/steam/apps/1363080/capsule_sm_120_tchinese.jpg?t=1714143614
Counter-Strike 2,https://cdn.akamai.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1698860631
HELLDIVERS™ 2,https://cdn.akamai.steamstatic.com/steam/apps/553850/capsule_sm_120.jpg?t=1709666906
《Apex 英雄》,https://cdn.akamai.steamstatic.com/steam/apps/1172470/capsule_sm_120.jpg?t=1712869091
Street Fighter 6,https://cdn.akamai.steamstatic.com/steam/apps/1364780/capsule_sm_120.jpg?t=1713234725
NARAKA: BLADEPOINT,https://cdn.akamai.steamstatic.com/steam/apps/1203220/capsule_sm_120_tchinese.jpg?t=1713929059
MONSTER HUNTER RISE,https://cdn.akamai.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1713201080
Monster Hunter: World,https://cdn.akamai.steamstatic.com/steam/apps/582010/capsule_sm_120.jpg?t=1711328912
雀魂麻將(MahjongSoul),https://cdn.akamai.steamstatic.com/steam/apps/1329410/capsule_sm_120.jpg?t=1663903484
PUBG: BATTLEGROUNDS,https://cdn.akamai.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1713943796
女神異聞錄5皇家版,https://cdn.akamai.steamstatic.com/steam/apps/1687950/capsule_sm_120.jpg?t=1711014966
Monster Hunter World: Iceborne,https://cdn.akamai.steamstatic.com/steam/apps/1118010/capsule_sm_120.jpg?t=1702368891
英勇之地,https://cdn.akamai.steamstatic.com/steam/apps/2349820/capsule_sm_120_tchinese.jpg?t=1713769960
火炬之光：無限,https://cdn.akamai.steamstatic.com/steam/apps/1974050/capsule_sm_120.jpg?t=1713412722
歧路旅人 II,https://cdn.akamai.steamstatic.com/steam/apps/1971650/capsule_sm_120.jpg?t=1702584991
流亡黯道,https://cdn.akamai.steamstatic.com/steam/apps/2855560/capsule_sm_120.jpg?t=1711569556
Conqueror's Blade,https://cdn.akamai.steamstatic.com/steam/apps/835570/capsule_sm_120_tchinese.jpg?t=1711714152
Dead Island 2,https://cdn.akamai.steamstatic.com/steam/apps/934700/capsule_sm_120.jpg?t=1713802874
女神異聞錄３ Reload,https://cdn.akamai.steamstatic.com/steam/apps/2161700/capsule_sm_120.jpg?t=1712233220
艾爾登法環,https://cdn.akamai.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1710261394
7 Days to Die,https://cdn.akamai.steamstatic.com/steam/apps/251570/capsule_sm_120.jpg?t=1702072288
Forza Horizon 5,https://cdn.akamai.steamstatic.com/steam/apps/1551360/capsule_sm_120.jpg?t=1714086603
Granblue Fantasy: Relink,https://cdn.akamai.steamstatic.com/steam/apps/881020/capsule_sm_120.jpg?t=1714108227
Age of Empires II: Definitive Edition,https://cdn.akamai.steamstatic.com/steam/apps/813780/capsule_sm_120.jpg?t=1710437332
人中之龍８,https://cdn.akamai.steamstatic.com/steam/apps/2072450/capsule_sm_120_tchinese.jpg?t=1709543079
Sekiro™: Shadows Die Twice - GOTY Edition,https://cdn.akamai.steamstatic.com/steam/apps/814380/capsule_sm_120.jpg?t=1678991267
Rusty's Retirement,https://cdn.akamai.steamstatic.com/steam/apps/2666510/capsule_sm_120.jpg?t=1714136479
Age of Empires IV: Anniversary Edition,https://cdn.akamai.steamstatic.com/steam/apps/1466860/capsule_sm_120.jpg?t=1708710025
《永無寧日》,https://cdn.akamai.steamstatic.com/steam/apps/1371980/capsule_sm_120.jpg?t=1713987346
Warframe,https://cdn.akamai.steamstatic.com/steam/apps/230410/capsule_sm_120.jpg?t=1711638801
World War Z,https://cdn.akamai.steamstatic.com/steam/apps/699130/capsule_sm_120.jpg?t=1711380772
Dead by Daylight,https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1712842368
FINAL FANTASY VII REMAKE INTERGRADE,https://cdn.akamai.steamstatic.com/steam/apps/1462040/capsule_sm_120.jpg?t=1696383548
Grand Theft Auto V,https://cdn.akamai.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1714055751
靈視異聞 FILE23 本所七大不可思議,https://cdn.akamai.steamstatic.com/steam/apps/2106840/capsule_sm_120.jpg?t=1714100686
Palworld / 幻獸帕魯,https://cdn.akamai.steamstatic.com/steam/apps/1623730/capsule_sm_120_tchinese.jpg?t=1707904340
Sid Meier’s Civilization® VI,https://cdn.akamai.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1714163182
Sky 光·遇,https://cdn.akamai.steamstatic.com/steam/apps/2325290/capsule_sm_120.jpg?t=1712870373
War Thunder,https://cdn.akamai.steamstatic.com/steam/apps/236390/capsule_sm_120.jpg?t=1713793346
星之後裔 : Knights of Veda,https://cdn.akamai.steamstatic.com/steam/apps/2484250/capsule_sm_120_tchinese.jpg?t=1713420673
Anno 1800,https://cdn.akamai.steamstatic.com/steam/apps/916440/capsule_sm_120.jpg?t=1711039326
《暗黑破壞神® IV》,https://cdn.akamai.steamstatic.com/steam/apps/2344520/capsule_sm_120_tchinese.jpg?t=1713542896
鐵拳8,https://cdn.akamai.steamstatic.com/steam/apps/1778820/capsule_sm_120.jpg?t=1714140367
塵白禁域,https://cdn.akamai.steamstatic.com/steam/apps/2668080/capsule_sm_120_tchinese.jpg?t=1713527071
《百英雄傳》Eiyuden Chronicle: Hundred Heroes,https://cdn.akamai.steamstatic.com/steam/apps/1658280/capsule_sm_120_tchinese.jpg?t=1714160243
百萬噸級武藏W：WIRED,https://cdn.akamai.steamstatic.com/steam/apps/2450450/capsule_sm_120_tchinese.jpg?t=1714003111
Nordic Ashes: Survivors of Ragnarok,https://cdn.akamai.steamstatic.com/steam/apps/2068280/capsule_sm_120.jpg?t=1714141691
Call of Duty®: Modern Warfare® III,https://cdn.akamai.steamstatic.com/steam/apps/2519060/capsule_sm_120_tchinese.jpg?t=1713202728
SAND LAND,https://cdn.akamai.steamstatic.com/steam/apps/1979440/capsule_sm_120.jpg?t=1714171937
Baldur's Gate 3,https://cdn.akamai.steamstatic.com/steam/apps/1086940/capsule_sm_120.jpg?t=1713271288
